,part_number,description_x,lot,qty
1332,R543,Vitamin K1 (1% Phytonadione),"210202
",18.50
688,R030,Potassium Citrate 34%,"20022
",18.394
1284,R456,Bilberry Fruit Extract 4:1,"210323
",18.356
1392,R696,L-Citrulline DL-Malate 2:1,"272204049
",18.334
1519,R912,"Black Walnut Hull Powder (Organic, Green Harvested) (Juglans nigra)","96242-53
",18.33
1045,R1336,Emblica (Gooseberry),SNE/PW/06/PE/1004/20,18.26
1508,R898,Chaste Tree Berry Extract 3% Flavones UV (10:1),"CSHMJZ-C-A002549
",18.20
1351,R609,Schisandra Extract 10:1 (2.0% Schisandrins),"SC20201018-1
",18.195
669,R014,Calcium Carbonate Powder,"TGF20029
",18.12
637,PS#10397,.05x66x500M Clear Roll,"xx
",18.00
885,R1147,Magnesium Ascorbate 6.4%,"783415
",18.00
1020,R1310,Rice Bran Oil,"266
",18.00
1014,R1307,Clove Extract 4:1 (Caryophyllus aromaticus),"CV20190720-1
",18.00
1536,R935,Selenium Yeast (0.02%Selenium) (From Inactive Yeast (Saccharomyces cerevisiae)),"20201120026
",18.00
664,R009,Green Tea Leaf SE 50% EGCG,"GT202002016
",18.00
293,PS#10041,5cc Blue Plastic Scoop,"1168015
",177.00
913,R1188,"Orange Flavor, Osage FLA114977","101-211029-031
",174.88
209,PS#10006,COMAR - 225cc White HDPE Bottle 45-400 340/case,"11402232
",172.00
781,R1031,Magnesium Citrate 30%,"0001005956
",171.313
216,PS#10007-ALPHA,300cc White HDPE Bottle 45-400,"P194640
",171.00
1453,R826,Sodium Beta Hydroxybutyrate (BHB),"DBS20190703
",17.926
899,R1170,Citrus Bioflavinoids 50% Complex,"SY20191205
",17.83
1035,R1326,Bamboo Extract (70% SIlica),"20299
",17.77
1350,R608,Fructose Crystalline,"LA19F91912
",17.733
1233,R399,Fenugreek Seed Powder,"ORG-MET-2001073
",17.70
922,R1199,CoreBiomeÃ¢ÂÂ¢,"200618A
",17.60
800,R1047,Cardamom Powder (Elettaria Cardamomum),"1084/17-18
",17.593
1479,R853,Oyster Meat 4:1 Powdered Extract,"20200826
",17.55
1556,R962,Vitamin C 25% (from Acerola Cherries),"C101711
",17.536
794,R1040,Black Currant Fruit Powder,"LZ200512-1
",17.50
1433,R791,Nu-FLOWÃ¢ÂÂ¢ Organic Brown Rice Concentrate,"085-20EU
",17.37
911,R1180,Lime Flavor (Natural) - Osage FL17231,"101-200507-334
",17.248
1254,R424,Black Elderberry Powder (Sambucus Nigra),"20200325
",17.241
1539,R937,"Green Tea Extract | 98% Polyphenols, 50% EGCG, 80-90% Catechins","GT202009027
",17.20
1246,R414,Maca Root Extract 10:1,"MCT-191202
",17.173
840,R1101,Vitamin E (d-alpha-tocopherol) Acetate 700 IU/g (Natural),"2019120104
",17.00
1238,R405,Aloe Vera Powder 200:1,NIGAV200-1-2005V5630,17.00
278,PS#10027,MRP-38-400 White Ribbed CRC Lid - Heat Inductive Liner 1400/case,"201712471244
",17.00
744,R072,Alpha Lipoic Acid (ALA),"TA210616
",17.00
485,PS#10234,".05x67x500M Roll Clear w/black print ""S4YP""","14369-A
",17.00
999,R1280,Valerian Root Extract (0.8% Valerenic Acid),"CXC-C-A002897
",17.00
394,PS#10163,38-400 Black Ribbed Pressure Sensitive Liner 3100/case Matte top finish,"201812513993
","17,676.00"
157,L#474-OC,"O Nutritions, Super Cell Food (White and Yellow) - 60 ct Label",,"17,210.00"
325,PS#10095,ALPHA-16oz White HDPE Canister 89-400,"M198461
",168.00
1264,R441,Methanol,"20251432
",165.00
523,PS#10269,COMAR - 400cc Cobalt Blue PET Bottle PZ 45-400 160/case,"21862990
",161.00
224,PS#10008-ALPHA,400cc White HDPE Bottle 45-400,"P192780
",160.00
902,R1173,Quercetin Dihydrate 95%,"EP21061903
",16.885
1056,R1347,Natural Lemon Lime Flavoring (OSF Flavors),"L021080010143
",16.70
1117,R190,Caffeine Anhydrous,"1012104072
",16.691
870,R1135,Organic Marshmallow Root Powder,"HK200220
",16.658
1462,R837,Wheat Germ Powder,"20210616
",16.60
1288,R459,Potassium Iodide,"1811063
",16.60
879,R1144,WokVelÃÂ® (bioavailable boswellia),"LWK4EG1804F18
",16.599
764,R1006,Organic Holy Basil Powder,"HP-FUP-1911035
",16.543
1143,R232,Bacopa Monnieri Extract 20%,NIGBM20-1909V4371419,16.513
1222,R381,Beta Sitosterol 40% (95% Phytosterols) (ALLERGEN: SOY),"20191006
",16.40
1486,R865,Organic Burdock Root Powder,"20200323
",16.35
1130,R214,Citric Acid,"AA-21030515-FG
",16.30
964,R124,Magnesium Oxide (Granular),"201201
",16.30
943,R1223,Licorice Root Extract (10% Glycyrrhizic Acid),"GA011901
",16.29
1258,R429,Papaya Leaf Powder,"340017-PD
",16.252
1359,R621,Organic Brown Rice Protein 80%,"20210312H
",16.20
1121,R200,Dandelion Leaf Powder,"CPGY-A-902571
",16.185
1036,R1327,Corydalis Yanhusuo Root 10:1 Extract,"COR20210421
",16.15
1016,R1309,Hydrangea Root Powder Extract 10:1,"20120819501
",16.10
705,R047,Magnesium Citrate 16%,"NMF20019
",16.057
1464,R840,Zinc Monomethionine 20%,"0001004968
",16.00
940,R1220,Organic Noni Fruit Powder (Morinda citrifolia) (USA origin),"CNLG-A-802094
",16.00
1197,R333,Amla Powder,"TRI-107/1903/F-10
",16.00
35,CS#5270,Beef Marrow,"21PH31-183168 E
",16.00
180,L#513,Big Health LLC - Flexacil - 60 ct Label,,"16,500.00"
1500,R887,Passion Fruit Flavor - S&S (PA-18949),"143213
",158.76
655,R002,PEG 8000 Carbowax (Polyethylene Glycols),"D684K5FEB1
",158.50
1211,R363,Calcium Chelate 40% (Aminomin),"0001039232
",150.00
398,PS#10168,8 oz Black PET Canister (70-400),"201907538308
",150.00
475,PS#10230,COMAR - 150cc Clear PET Bottle 38-400,"11433784
",150.00
632,PS#10390,14x12x14 Double Wall Box,,150.00
630,PS#10390,14x12x14 Double Wall Box,,150.00
1324,R538,0 Plantcaps Clear Capsules,"7176455
","150,000.00"
1109,R181,Bromelain 80 GDU/g,"SB20-H111730
",15.916
795,R1041,Hyssop Powder,"1227348
",15.82
1514,R907,Green Tea Extract (95% Polyphenols) (45% EGCG) (55-75% Catechins (18:1)),"2020010191
",15.789
937,R1218,Sodium Molybdate 1%,"672782
",15.77
663,R008,L-Arginine HCl,"20210103
",15.76
773,R1024,Organic Hydrangea Root Powder,"93701-50
",15.623
748,R076,Iron (Ferrous) Fumarate,"NIGFF-2006V589620
",15.50
1441,R804,Epimedium Extract (Horny Goat Weed Extract) 10:1,"EE19061810
",15.50
1244,R411,Ginkgo Biloba Extract 24% / 6%,"202002005
",15.50
1164,R262,Copper Gluconate 13%,"20191028
",15.48
1047,R1339,DigeSEBÃ¢ÂÂ¢,"1051033
",15.39
1276,R451,Orchic Substance (Bovine),"08110071-B
",15.383
1534,R927,Yucca Root P.E. 10:1 (Organic),"TM200110
",15.351
1520,R913,Clove Powder (Flower) (Organic),"ZOCLOVP3683
",15.338
1517,R910,Gynostemma Pentaphyllum Extract Gypenosides (Jiaogulan),"CP20200715
",15.315
694,R037,Yucca Root Powder,"YP1-061221-1973
",15.30
1069,R1360,Organic Bamboo Extract Powder,"KVN/BAM/20/0802
",15.20
742,R071,Echinacea Angustifolia Herb Powder,"92302-53
",15.169
1118,R191,Green Tea Extract 4:1,"GTE-20110041
",15.15
25,CS#5261,Beef Kidney,"21PH31-174924 E
",15.00
896,R1163,Black Elderberry std. to 13% anthocyanins(12:1 Extract),"20010520
",15.00
1214,R365,Magnesium Chelate 40% Amino Acid,"05211105
",15.00
1394,R698,Glucuronolactone,"202012002
",15.00
1018,R131,Barley Grass Powder,"SBT-S100871
",15.00
1131,R215,Resveratrol 20%,"210312
",15.00
783,R1032,Iron (Ferrous Sulfate),"67207-1810
",15.00
831,R1091,Horsetail Extract 4:1,"WJ-200310
",15.00
263,PS#10022,38-400 Black Ribbed Lid - Pressure Sensitive Liner 3100/case,"JR00019801
","15,000.00"
1070,R1367,Gymnema Sylvestre Extract (25% Gymnemic Acid) (leaf) (COO: Non-Chinese),"NBT-20756
",149.845
745,R074,Boron Aminomin 5%,"0001000394
",149.381
177,L#510,"Hard Iron Labs / Built by Nature, L-Carnitine 1000 mg - 180 ct Label",,149.00
620,PS#10372,"Rieke-120-400 White Smooth, Deep Skirt  Heat Induction Lid 252/case","JR00051821
",149.00
524,PS#10269,COMAR - 400cc Cobalt Blue PET Bottle PZ 45-400 160/case,"22217416
",149.00
291,PS#10038,INNOVATIVE-89-400 Black Ribbed Lid - Pressure Sensitive Liner 624/case,"JR00039823
",148.00
660,R007,Calcium Carbonate Granular (DC95),"TGK21012
",145.57
215,PS#10007-ALPHA,300cc White HDPE Bottle 45-400,"C80665035
",145.00
178,L#511,"Hard Iron Labs / Clark Supplements, L-Carnitine 1000 mg - 180 ct Label",,144.00
665,R010,Silicon Dioxide,"17501
",140.00
348,PS#10107,500cc Dark Amber PET Bottle 45-400 140/case,"6462399
",140.00
354,PS#10112,25oz Black PET 89-400 Canister,"CP2589B020218
",140.00
363,PS#10121,500cc Green PET Bottle 53/400 140/case,"T075025
",140.00
502,PS#10252,COMAR - 300cc Dark Amber PET Bottle 45-400,"U210681
",140.00
994,R1270,00 Goh-VegÃ¢ÂÂ¢ White HPMC vegetable capsules (titanium dioxide free),"SV919121530
","140,000.00"
946,R1229,Wormwood Powder (Artemisia absinthium),"20200904
",14.996
1306,R494,Gotu Kola Extract 4:1,"CJXC-E-707864
",14.971
1554,R961,Longjack (Eurycoma Longifolia) Root Extract (4:1)Ã¯Â¿Â½,"DGAL-190807
",14.97
1362,R628,Zeaxanthin 5% (Marigold Extract),"KSZE210322-1
",14.94
1342,R578,Chaste Berry Extract 4:1,"SB19-H060871
",14.90
1411,R733,DL-Phenylalanine,"202011001
",14.833
877,R1140,Organic Cat's Claw,"HK200316
",14.788
1438,R800,Organic Celery Seed Powder,"18J276-3427
",14.687
804,R1057,Calcium Glycinate 20%,"07212104
",14.675
1323,R536,Green Tea Extract 50% Polyphenols,"GT202005012
",14.64
889,R1150,NitrosigineÃÂ® Arginine,"PASD350972
",14.438
1202,R346,Larch Arabinogalactan Powder,"LAP/19-11-188
",14.424
1299,R473,Passion Flower Extract 4:1,"20191109
",14.40
923,R120,"Protease 100,000 HUT/g","FP100-ED17
",14.323
910,R1179,Cherry Flavor (Natural) - Osage FL11661,"101-200507-336
",14.079
1204,R348,Reishi Mushroom Extract 4:1,"RM190222
",14.00
1472,R847,Erythritol 98%,"20022473
",14.00
136,L#308-OC,"TC Best LLC, Sea Moss Plus - 60ct Label (Organic Certified)",,"14,120.00"
360,PS#10119,53-400 Orange Lid - Pressure Sensitive liner,"112659
",139.00
362,PS#10120-Performance,200cc Green PET Bottle 38-400,"122319-200
",138.00
1265,R441,Methanol,"20251432
",138.00
46,CS#5278,00 Vcaps Plus Purple Carrot STD. PURPLE TR. V27.901,"3624531
","136,000.00"
494,PS#10248,45mm CRC BLACK PICTORIAL (021) HS035.020 FOAM PRINTED SFYP,"201904528739
",135.00
1412,R734,00 Gelatin Black Opaque 1975.01/ Red Opaque 1244.01 Capsules,"7175864
","130,000.00"
881,R1146,Peppermint Leaf Extract 20:1,"PEP20210309
",13.967
1545,R948,Organic Marigold Flower Powder,"HK210802
",13.96
1425,R765,Jujube Extract 4:1,"CSZR-C-A002889
",13.90
1059,R1351,Red Root Extract 4:1 (Ceanothus Americanus),"2107182552
",13.89
1126,R209,Acai Berry P.E. 4:1,"CBXM-C-A002490
",13.847
1314,R508,Papaya Fruit Powder,"180905A
",13.80
18,CS#5216,Omnimin AC Mineral Complex,"004-M02
",13.747
1192,R321,Parsley Leaf Powder,"SBS-5120851
",13.678
760,R100,Cranberry Fruit Extract 4:1,"CB17010905
",13.607
887,R115,Maltodextrin,"20062031
",13.60
1580,R999,"Hydrolyzed Marine Collagen Peptide (Type I, III)","19058
",13.584
1564,R975,"Cacao (Organic, raw)","ORG-OCP01192021
",13.577
1510,R900,Red Clover Extract 8% Isoflavones HPLC (20:1),"CHCZ-C-A002342
",13.50
1386,R692,DiCreatine Malate,"201202
",13.458
1027,R1319,Kola Nut Extract (20% Caffeine),"802799
",13.40
1042,R1333,Organic Alfalfa (Medicago sativa),"20201229
",13.33
1352,R610,Beta Carotene 20% Powder CWS,"21051712
",13.30
1022,R1313,Hydrolyzed Bovine Collagen Peptides (Nutra Food Ingredients),"C181211C3
",13.30
1229,R391,Nettle Leaf Extract 4:1,"20200524
",13.20
672,R019,Citrus Bioflavonoid 25%,"20201012
",13.20
1044,R1335,Camu Camu,"PCX20000068
",13.18
1180,R296,Brown Flax Seed Powder,"21-06-124-ER476
",13.161
1470,R846,Pink Himalayan Salt,NIGFHSLT-1806V161002,13.107
847,R1112,Oregano Leaf Powder,"20-11-174-ER563
",13.099
1415,R737,Tongkat Ali Root Powder (Longjack Eurycoma powder),"CDGAL-C-A002040
",13.00
581,PS#10322,15x15x12 Box,,13.00
435,PS#10209,38 x 58 2mil Clear Food Grade Bags,,13.00
337,PS#10105,25oz White HDPE Canister 89-400 96/case,"M175194
",13.00
1153,R246,L-Carnitine Tartrate,"20083001
",13.00
1272,R448,Tribulus Terrestris Fruit Powder,"GKP-2011174
",13.00
982,R1258,Diosmin,"DIOSM-191127
",13.00
352,PS#10111,"Standard Shoe Covers - Size 6-11, Blue 150 pairs / pack",,13.00
627,PS#10386,"Concrete Mounting Kit - 3/4"" x 4-1/4""","000
",13.00
878,R1142,Organic American Panax Ginseng,"HK200305
",13.00
303,PS#10064,Zip Ties 1000 / bag,,13.00
1237,R404,Zinc Sulfate 30%,"010261
",13.00
342,PS#10105-CBM,25oz White HDPE Canister 89-400 96/case,"5459615
",127.00
900,R1170,Citrus Bioflavinoids 50% Complex,"CCPD-B-A008140
",125.00
813,R107,Eleutherococcus (Siberian Ginseng) Powder,"SGP-20210511
",124.88
674,R019,Citrus Bioflavonoid 25%,"SY20210704
",124.845
258,PS#10019,38-400 White Ribbed Lid - Pressure Sensitive Liner 2900/case,"201803482429
",120.00
364,PS#10122,625cc Green PET Bottle RND PAC 53/400 122/case,"S016222
",120.00
292,PS#10039,89-400 Black Smooth Lid - Pressure Sensitive Liner,"JR88520330
",120.00
1034,R1325,SensorilÃÂ® Ashwagandha Root & Leaf Extract,"WS202010237-SNPL
",12.975
1494,R873,Milk Thistle Powder,"20190707
",12.975
1377,R674,Kale Powder,"C18122101
",12.913
724,R053,Hyaluronic Acid (Sodium Hyaluronate),"2021020702
",12.857
677,R023,Fennel Seed Powder,NIGFENSP-2001V218220,12.814
1235,R401,Artichoke Leaf Extract 4:1,"20190610
",12.717
690,R032,Manganese Gluconate 11%,"560363
",12.60
898,R1166,"Omega-3 P-50 Powder (4% EPA + DHA, 49% Alpha Linolenic Acid) (Flaxseed Origin)","05215702
",12.50
1001,R1283,Medium Chain Triglycerides (from Coconut Oil Powder) (O2PÃÂ®) [Non-GMO version],"16402
",12.50
1526,R917,Humate / Black Mineral Powder,"MSM-20019B
",12.426
1207,R352,Fruit Punch Flavor (Gold Coast# 325224),"316257
",12.421
1308,R497,Goldenseal Herb Powder,"010821
",12.36
793,R104,Cloves (stem) Powder,"SBT-S060494
",12.36
845,R1109,Lemongrass Leaf Powder,"19-06-090-ER514
",12.36
1286,R457,Malic Acid,"MA-202005-009
",12.35
739,R069,Choline Dl-Bitartrate,"SBT-S060486
",12.34
1168,R269,Beef Liver Powder S.D.,"95F00233
",12.25
763,R1002,Marigold Flower Powder (Conventional),"CO/18-03-080
",12.20
676,R022,DL-Methionine,"1812290305
",12.20
704,R046,Vitamin B6 Pyridoxine HCl,"PH19092018
",12.10435
28,CS#5262,Beef Adrenal,"208959
",12.00
1527,R920,Neem Leaf Powder (Organic),"1141/1718
",12.00
1212,R364,Potassium Krebs 33%,"546907
",12.00
382,PS#10151,Economy Cable Gun,,12.00
1565,R979,Bovine Gelatin Powder,"NFI13010
",12.00
410,PS#10181,"Ink, Violet 750ml (V415-D)",,12.00
199,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P211313
","12,450.00"
195,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P211115
","12,450.00"
201,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P212048
","12,450.00"
649,PS#10413,45-400 Silver Ribbed Lid - Heat Seal Liner - Matte Top,"202109617708
","12,000.00"
432,PS#10203,"Orange 3 X 5"" HOLD Slip -Production Dept 1000/Roll",,"12,000.00"
1467,R843,Organic Black Maca Powder (Gelatinized),"3002-119-120919
",119.807
223,PS#10008-ALPHA,400cc White HDPE Bottle 45-400,"P204500
",118.00
505,PS#10253,COMAR - 225cc Dark Amber PET Bottle 45-400 (PX),"23198943
",117.00
171,L#497,"Krock, LLC - Super Green Food Powder [Unflavored] - 30 serving Label",,117.00
732,R063,Isopropyl Alcohol,"18AK509874
",110.00
1023,R1315,Hydrolyzed Marine Collagen [Fish Allergen] (Nutra Food Ingredients),"0197-01-004
",11.971
1155,R250,"Vitamin A Palmitate 250,000 IU/g","21250401
",11.90
38,CS#5273,Beef Blood,"20PH31-173331
",11.87
34,CS#5269,Beef Bone (MCHA),"92175
",11.87
37,CS#5271,Beef Cartilage,"92149
",11.87
40,CS#5274,Beef Thymus,"20PH31-174962-E
",11.866
1459,R832,Saw Palmetto Berry Powder,"CJUYZ-C-A021184
",11.85
1209,R355,Organic Ashwagandha Root Powder,AI/ASH/FG/007/2019/0,11.71
1366,R637,Calcium Peroxide,"7301801261
",11.70
1189,R314,Watercress Leaf Powder,"201021
",11.67
1567,R984,Stevia Extract 98% (Rebaudioside),"20190401
",11.614
1175,R283,White Kidney Bean Extract 20:1,"BYD-210121
",11.60
1578,R997,Peppermint Leaf Powder (Menthe piperita Linn),"PEP2202020
",11.60
1157,R253,Zinc Gluconate 14%,"20016
",11.575
1516,R908,Hawthorn Berry Extract 5% Flavones UV (4:1)Ã¯Â¿Â½Ã¯Â¿Â½,"160825
",11.521
945,R1227,Oregano Oil Powder,"CXQF-A-802078
",11.489
875,R114,Spinach Powder,"SB18-H050727
",11.487
1076,R1373,Maca root (20:1 Extract),"MREP-20210217
",11.47
1158,R253,Zinc Gluconate 14%,"20045
",11.44
678,R023,Fennel Seed Powder,"20-07-115-ER470
",11.12
1543,R945,Organic Pau D'Arco Powder,"PA20180615
",11.015
548,PS#10297,"38-400 White Ribbed, Matte top Lids","4700149339
","11,600.00"
725,R054,Bromelain 2400 GDU / g,"20210227
",108.35
653,R001,Dextrose CereloseÃÂ®,"1421242307
",106.9156
587,PS#10333,750cc White HDPE Bottle 53-400,"C82278532
",106.00
883,R1147,Magnesium Ascorbate 6.4%,"559281
",100.00
231,PS#10010,ALPHA - 150cc Black PET Bottle 38-400 410/case,"F190874
",100.00
460,PS#10219,ALPHA - 225cc Cobalt Blue PET Bottle 45-400,"P194523
",100.00
13,CS#5199,200cc PK/SS 38-400 Black bottles 335/cs,"20190828
",100.00
241,PS#10014,200cc Dark Amber PET Bottle 38-400 290/case,"T092052
",100.00
696,R038,Chondroitin Sulfate (Bovine),"NIGCSB-2108V296221
",100.00
588,PS#10334,MRP-53-400 White Ribbed Lid - Heat Induction liner,"202007581082
",100.00
465,PS#10223,400cc Black PET Bottle 45-400,"W014021
",100.00
1489,R869,Nutrafinish Dietary Supplement Yellow 145B120002,"WP843577
",100.00
238,PS#10013-COMAR,200cc White PET Bottle 38-400,"5400967
",100.00
1330,R539,00 Plantcaps Clear Capsules,"7181409
","100,000.00"
849,R1113,Sage Leaf Powder,"96108-53
",10.858
777,R1029,Organic Red Clover Powder,"CHCZ-E-903318
",10.67
776,R1028,Organic Yellowdock Root Powder,"1019C-OUP
",10.67
901,R1171,Niacin,"5089072018/J/N
",10.66167
1080,R1382,D-Chiro Inositol,"HJ012107001
",10.645
1316,R510,Cordyceps Mushroom 7%,NIGCRDY7-2001V255074,10.617
698,R041,GABA (Gamma Aminobutyric Acid),"010650-H2020080301
",10.57
1503,R895,Palmitoylethanolamide (PEA),"MLP-PEA-20200330
",10.355
1566,R982,Organic Cane Juice,"EL180906
",10.273
1372,R658,Juniper Fruit Powder,"SBT-S090795
",10.27
1077,R1374,Mucuna pruriens powder,"CLD-E-A005688
",10.20
1061,R1353,"Organic Chaga Extract 1:1 [Inonotus obliquus][Sterile conk,canker]","OCEP-2020-1108
",10.02
1031,R1321,Phosphatidylserine 20% (from Sunflower),"PSUN072101P
",10.00
529,PS#10274,5 gallon plastic pail - White,"07/15/2021
",10.00
455,PS#10216,"QC Approval 2"" circle label - Green 500/roll","S-5913
",10.00
578,PS#10313,"Circle Inventory Control Labels - ""PARTIAL"", 2""","S-11401
",10.00
454,PS#10216,"QC Approval 2"" circle label - Green 500/roll","09/20/2021
",10.00
27,CS#5261,Beef Kidney,"M-2115208
",10.00
645,PS#10409,3M 8210V N95 Industrial Respirator with Valve 10/carton,,10.00
754,R083,Turmeric Root Powder,"CP20200559
",10.00
918,R1194,Wildcrafted Linden Flower Powder,"M0014944
",10.00
790,R1037,Witch Hazel Leaf Powder,"94357-53
",10.00
366,PS#10126,Black Powder Free Nitrile Gloves - XL 100 / box,,10.00
353,PS#10111,"Standard Shoe Covers - Size 6-11, Blue 150 pairs / pack",,10.00
927,R1204,Deglycyrrhizinated Licorice Ã¢ÂÂ¤3% Glycyrrhizin,"DGLB00719
","10,667.00"
45,CS#5277,"45-400 Black-Gold Rim Metal Cap, Pulp & Poly Liner 2500 case","210707584
","10,000.00"
1336,R549,00 Gelatin Black 8908.01 Capsules,"7166295
","10,000.00"
1305,R486,00 Gelatin Swedish Orange 0191.01 Capsules,"7159879
","10,000.00"
552,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","JR00052283
","10,000.00"
140,L#348,"BeLive, Inositol Capsule - 90ct Label",,"10,000.00"
1446,R814,L-Leucine (fermented),"L2102017
",1.959
859,R1128,Calcium Laurate,"550112
",1.946
1473,R848,Lithium Orotate 9%,"653335
",1.93
738,R068,Lycopene 5%,"C3-0134-200414
",1.90
1406,R716,Panax Ginseng Root Extract 5% ginsenosides,"SB19-H091333
",1.881
1493,R872,Organic Flax Seed Powder,"CYAMZ-A-802794
",1.81
1090,R151,Slippery Elm Bark Powder,"SBT-S010029
",1.806
1210,R361,Oat Straw Powder,"20-05-073
",1.80
1291,R463,L-Selenomethionine Trit on DCP 0.5%,"200123
",1.789
880,R1145,Pau D'Arco Bark Extract 4:1,"SB20-H030342
",1.722
1089,R149,Quercetin Dihydrate 98%,"QD210129
",1.71
785,R1033,Red Yeast Rice (Monascus purureus),"CHQM-C-A002062
",1.70
935,R1214,White Willow Bark (25% Salicin),"SBT-S010034
",1.698
1163,R260,L-Aspartic Acid,"1907027
",1.675
1513,R906,Garcinia Cambogia Extract Granular 60% HCA (USP) 10:1,"I-18123
",1.657
986,R1260,Soy Bean Powder (Glycine Max),"18-07-162
",1.626
1403,R709,Grapefruit Seed Extract 10:1,"SB20-H081359
",1.609
736,R066,Folic Acid (Folate) (pure),"FO1904-E1
",1.605
1431,R778,Zinc Glycinate 25%,"559205
",1.53
1356,R615,Zinc Bisglycinate Chelate 20% TRAACS,"BN12000000598
",1.503
1347,R586,Huperzine A 1%,H040.S01000.G0034.20,1.498
1221,R377,DiCalcium Phosphate Anhydrous,"1628
",1.40
654,R001,Dextrose CereloseÃÂ®,"1420300302
",1.377
897,R1166,"Omega-3 P-50 Powder (4% EPA + DHA, 49% Alpha Linolenic Acid) (Flaxseed Origin)","10205103
",1.351
1560,R970,Pomegranate Extract 4:1,"PG20190922-2
",1.337
1496,R878,Calcium Silicate,"378110441
",1.313
1145,R235,Melatonin,"SBS-S090642
",1.30
1345,R583,Berberine HCL 97% (Barberry) (Berberis aristata) (bark),"21012451
",1.30
1173,R277,Bladderwrack Powder,"20-04-061
",1.298
1440,R803,Trans Resveratrol 50%,"20191125
",1.278
1105,R172,Chromium Picolinate 11.7%,"20210115
",1.262
808,R1061,HydroCurcÃ¯Â¿Â½ (Curcumin)Ã¯Â¿Â½,"20190123 05
",1.238
1302,R478,Black Pepper Extract Piperine 95%,"CHJJ-C-A002908
",1.19
1271,R448,Tribulus Terrestris Fruit Powder,"18-05-114
",1.18
673,R019,Citrus Bioflavonoid 25%,"CAE210125
",1.14
1477,R852,Nettle Root Powder,"CQMG-C-A002397
",1.124
1507,R898,Chaste Tree Berry Extract 3% Flavones UV (10:1),"CJKMJZ-A-602144
",1.123
1112,R184,L-Methionine,"201904131
",1.10
1046,R1337,Chokeberry,"21-03-051-ER76
",1.10
1043,R1334,Acerola Cherry,"20-07-111/0319
",1.10
1260,R432,Noni Fruit Powder (Hawaiian),"20-01-012
",1.10
1074,R137,CoQ10,"SBU-S030184
",1.079
1442,R806,Muira Puama Root Powder,"SBT-S080738
",1.074
1384,R691,Organic Indonesian Cinnamon (Cinnamomum burmannii),"92950-50
",1.056
1106,R175,Manganese Citrate 28%,"557051
",1.045
1041,R1332,Eucalyptus,"21-05-077
",1.03
24,CS#5261,Beef Kidney,"98384
",1.00
23,CS#5261,Beef Kidney,"2102302
",1.00
604,PS#10352,"Vinyl Gloves - Powder-Free, 3  MIL, Clear, Large",,1.00
607,PS#10356,10x10x10 Single Wall Box,,1.00
311,PS#10072,"12x18"" 2 Mil Poly Bags - 1000 / Roll",,1.00
185,PS#10001-SETCO,100cc White HDPE Bottle 38-400 650/case,"P192668
",1.00
593,PS#10340,.05x155x195 Clear Cutband,,1.00
331,PS#10104,45-400 White Ribbed Lid - Heat Inductive Liner 2000/case,"202007579699
",1.00
39,CS#5274,Beef Thymus,"20PH31/173293E
",1.00
565,PS#10307-ALPHA,250cc Light Amber PET Bottle 45-400,"U200182
",1.00
531,PS#10277,"10X10X5"" Corrugated Boxes","101901061
",1.00
268,PS#10024,38-400 White Ribbed Lid - Heat Induction Liner Shiny Top 2900/case,"202108615335
",1.00
379,PS#10147,14x12x14 Boxes,,1.00
514,PS#10265,.05 x 150 x 100 CLEAR Cutband,"96923
",1.00
266,PS#10024,38-400 White Ribbed Lid - Heat Induction Liner Shiny Top 2900/case,"202108614201
",1.00
470,PS#10227,PERFORMANCE - 250cc Cobalt Blue PET W/M RND 45/400,"050319-250
",1.00
466,PS#10224,.05 x 150 x 195 CLEAR Cutband,"10224
",1.00
182,PS#10001-SETCO,100cc White HDPE Bottle 38-400 650/case,"P192959
",1.00
377,PS#10144,Gun Tape Dispenser,,1.00
184,PS#10001-SETCO,100cc White HDPE Bottle 38-400 650/case,"21-20385
",1.00
409,PS#10180,Make-Up 750ml (V719-D),,1.00
519,PS#10268,ALPHA - 250cc Dark Amber PET Bottle 45-400,"F191199
",1.00
679,R024,Guarana Seed Extract 22% Caffeine,"SB20-H121927
",1.00
1408,R723,Creatine Monohydrate,"CM20210106A
",1.00
774,R1025,Organic Cascara Sagrada Bark Powder,"1004C-WIIP
",1.00
915,R1189,Nutraceutical Grade Humic Acid (Code: NGHA-C05NP)(FulvicXcell Products),"20F16-0113-E05NP
",1.00
799,R1046,Saffron Extract 0.3% Safranal,"20200810
",1.00
928,R1205,Pepsin 1:3000 (Porcine),"20620
",1.00
1405,R713,Triacetin,"MKCC5661
",1.00
1400,R706,Watermelon Flavor (Mack),"16303-211503-01
",1.00
142,L#360,"Nature Gains LLC, Natu Roids - 120ct Label",,"1,980.00"
343,PS#10105-CBM,25oz White HDPE Canister 89-400 96/case,"5472784
","1,920.00"
254,PS#10019,38-400 White Ribbed Lid - Pressure Sensitive Liner 2900/case,"C780071209
","1,900.00"
333,PS#10104,45-400 White Ribbed Lid - Heat Inductive Liner 2000/case,"L400HIY
","1,900.00"
